name,isin,symbol
SPDR Gold Shares,US78463V1070,GLD
iShares Silver Trust,US46428Q1094,SLV
Vanguard Real Estate ETF,US9229085538,VNQ
iShares Global Infrastructure ETF,US4642883726,IGF
iShares Core SMI ETF,CH0237935652,CSSMIM
iShares MSCI World ETF,IE00B4L5Y983,URTH
Nippon India ETF Nifty 50 BeES,INF204KB14I2,NIFTYBEES
