name,isin,symbol
SPDR Gold Shares,US78463V1070,GLD
iShares Silver Trust,US46428Q1094,SLV
Vanguard Real Estate ETF,US9229085538,VNQ
iShares Global Infrastructure ETF,US4642883726,IGF
UBS ETF Gold,CH0106381979,UBSGOLD
