name,isin,symbol
Apple Inc.,US0378331005,AAPL
Microsoft Corporation,US5949181045,MSFT
Nestlé S.A.,CH0038863350,NESN.SW
Roche Holding AG,CH0012032048,ROG.SW
Novartis AG,CH0012005267,NOVN.SW
Reliance Industries Limited,INE002A01018,RELIANCE
Tata Consultancy Services Limited,INE467B01029,TCS
HDFC Bank Limited,INE040A01034,HDFCBANK
