name,isin,symbol
HDFC Mutual Fund,INF179K01XD8,HDFCMF
Nippon India Mutual Fund,INF204K01ZN5,NIPPONMF
UBS (Lux) Equity Fund - Swiss Opportunity,LU0136240974,UBSSWISS
Credit Suisse Equity Fund Swiss Dividend Plus,CH0011930825,CSWISS
