name,isin,symbol
US Dollar to Swiss Franc,FX-USDCHF,FX-USDCHF
Euro to Swiss Franc,FX-EURCHF,FX-EURCHF
US Dollar to Indian Rupee,FX-USDINR,FX-USDINR
